id,val,len,dec,dt,spd,rd
500,F,8.8,QzTLoPsA1e,11/15/2025,,v=F;i=500;l=8.8;s=241
501,T,10.8,FdyjCsbZkU,9/6/2025,64,s=64;v=T;l=10.8;i=501
502,T,8.8,e6QWjwTUwt,10/12/2025,227,i=502;l=8.8;s=227;v=T
503,T,7.6,01pwTOuEuu,11/5/2025,162,i=503;v=T;s=162;l=7.6
504,T,7.4,FGrE7YmedD,12/13/2025,219,v=T;s=219;l=7.4;i=504
505,F,6.3,hbMvNj2Bzx,10/4/2025,75,l=6.3;i=505;v=F;s=75
506,T,10,nzosFIZuan,12/3/2025,4,l=10.0;i=506;s=4;v=T
507,T,6.3,0GVoWBYbXP,8/9/2025,117,i=507;l=6.3;v=T;s=117
508,T,10.3,TtYSKJOdvW,10/25/2025,145,v=T;i=508;s=145;l=10.3
509,T,8.5,oG54JwT91L,7/20/2025,101,s=101;l=8.5;i=509;v=T
510,T,8.3,4HFDiJKsfR,10/20/2025,110,v=T;l=8.3;s=110;i=510
511,F,10.4,ae0TqSU1qa,9/5/2025,122,s=122;i=511;l=10.4;v=F
512,T,7,6uX2EoTcJW,12/24/2025,74,i=512;s=74;v=T;l=7.0
513,F,6.9,0iijCbEfyp,8/20/2025,117,v=F;i=513;s=117;l=6.9
514,F,10.2,muuJIBSsP7,8/11/2025,181,l=10.2;i=514;v=F;s=181
515,F,7.9,QCO3EyVqd4,10/26/2025,2,l=7.9;i=515;v=F;s=2
516,F,5.5,NGXF7L90Pj,11/4/2025,218,v=F;l=5.5;i=516;s=218
517,T,6,pQj2wrnkNF,10/8/2025,177,v=T;s=177;i=517;l=6.0
518,F,5.7,PmTdjw5n1n,12/11/2025,28,i=518;v=F;s=28;l=5.7
519,T,7.3,Uf28I0ctDs,11/29/2025,115,l=7.3;v=T;i=519;s=115
520,F,9.9,nttskvn8nm,7/9/2025,20,v=F;l=9.9;s=20;i=520
521,T,7.2,UENqGHKeYR,6/21/2025,215,v=T;i=521;s=215;l=7.2
522,T,8.1,rczhjST0RH,1/2/2026,25,l=8.1;s=25;i=522;v=T
523,T,10.8,sBIUPFvgaH,9/12/2025,196,v=T;s=196;l=10.8;i=523
524,T,8.1,uAEbeL9uzY,8/7/2025,96,v=T;i=524;l=8.1;s=96
525,F,8.8,65vC2M0cJk,12/12/2025,132,s=132;v=F;l=8.8;i=525
526,F,8.3,hAYpVtIcbH,12/22/2025,33,v=F;s=33;i=526;l=8.3
527,F,8.5,WMutyMylaF,8/23/2025,142,s=142;v=F;l=8.5;i=527
528,T,9.2,afXRNStay3,11/24/2025,42,i=528;l=9.2;s=42;v=T
529,F,6.2,iDbDF2wXj4,10/14/2025,19,s=19;i=529;l=6.2;v=F
530,T,6.8,WAWawkYkRd,12/31/2025,117,l=6.8;s=117;v=T;i=530
531,F,9.9,LKcEUiOK0x,9/17/2025,51,l=9.9;i=531;v=F;s=51
532,T,7.6,0g25yNRfov,1/1/2026,166,l=7.6;v=T;i=532;s=166
533,T,8.3,Z3Xom3HrJv,6/26/2025,72,s=72;l=8.3;v=T;i=533
534,T,7,QBxH9RA769,9/23/2025,218,s=218;v=T;i=534;l=7.0
535,T,5.6,vQQmaeofKx,10/10/2025,138,v=T;l=5.6;i=535;s=138
536,T,9.9,r5t6gnD9Fg,6/23/2025,180,v=T;i=536;l=9.9;s=180
537,T,10.5,I39OkkxY0t,12/19/2025,214,s=214;l=10.5;i=537;v=T
538,T,9.7,nHRbFBJiR9,7/21/2025,12,s=12;v=T;i=538;l=9.7
539,T,8.5,V6R3oCoYLy,8/2/2025,224,l=8.5;s=224;v=T;i=539
540,T,10,fgyyDNqfJt,11/6/2025,241,v=T;i=540;l=10.0;s=241
541,F,9.4,9ue6LcHjHB,11/16/2025,21,v=F;i=541;s=21;l=9.4
542,T,9.7,QxebJlUcLT,11/30/2025,4,s=4;l=9.7;v=T;i=542
543,F,7.7,qxXr3ApPX1,8/21/2025,44,i=543;s=44;v=F;l=7.7
544,F,10.1,FOA0x6y6Bm,12/18/2025,78,s=78;l=10.1;i=544;v=F
545,T,8.5,kuW5Ab5ZWS,7/4/2025,1,v=T;i=545;l=8.5;s=1
546,F,6.4,GrxVGTAAo1,9/25/2025,58,i=546;s=58;l=6.4;v=F
547,F,8.6,OSAblsfY0V,6/20/2025,159,s=159;l=8.6;i=547;v=F
548,T,10.1,OSmTxgvuLJ,8/29/2025,25,i=548;s=25;v=T;l=10.1
549,T,7.9,mzCZyeI7sL,7/31/2025,245,v=T;i=549;s=245;l=7.9
550,F,8.4,0BC5PPjX3G,10/8/2025,191,s=191;l=8.4;i=550;v=F
551,F,10.2,AT77kwy5Br,12/19/2025,28,i=551;v=F;s=28;l=10.2
552,F,6.9,Svn0nYTNeB,8/26/2025,39,l=6.9;s=39;v=F;i=552
553,F,6.2,hhOXHOlabg,8/26/2025,227,i=553;s=227;l=6.2;v=F
554,F,7.1,w7TEF2LP72,7/4/2025,130,v=F;l=7.1;i=554;s=130
555,F,9.6,iAe2eAhdM9,8/1/2025,49,v=F;l=9.6;i=555;s=49
556,F,7.2,h9I8ljR9QK,12/26/2025,214,v=F;l=7.2;i=556;s=214
557,T,6.2,Bta0sA9dYZ,9/5/2025,208,s=208;v=T;i=557;l=6.2
558,F,8.6,5icSdeGQwp,8/27/2025,198,l=8.6;s=198;i=558;v=F
559,T,9.1,m1zfqA5D8F,11/5/2025,125,i=559;l=9.1;s=125;v=T
560,T,10.1,SpZYLaQWaZ,9/11/2025,82,v=T;i=560;s=82;l=10.1
561,T,5.9,JRmC6XKlxi,12/8/2025,15,i=561;l=5.9;s=15;v=T
562,F,10.6,fgx7gP5Wn6,9/16/2025,112,s=112;l=10.6;v=F;i=562
563,T,7.9,cmpnSDzKCl,6/23/2025,18,s=18;l=7.9;i=563;v=T
564,T,8.7,1hPWqrqsji,9/28/2025,179,v=T;i=564;l=8.7;s=179
565,F,9.8,5Gqi6nb4kp,8/28/2025,108,s=108;l=9.8;v=F;i=565
566,T,9.2,ggyTIR0gCf,8/19/2025,219,s=219;i=566;l=9.2;v=T
567,T,9.1,887pUdTBtz,11/3/2025,194,s=194;v=T;l=9.1;i=567
568,F,9.6,9XwseRJJ23,11/9/2025,156,v=F;s=156;l=9.6;i=568
569,T,7,P5uK5KFKgt,9/30/2025,88,s=88;l=7.0;v=T;i=569
570,T,5.6,XuNyd157zn,8/23/2025,231,s=231;l=5.6;i=570;v=T
571,T,7.1,21FibmU0oS,12/26/2025,128,v=T;l=7.1;s=128;i=571
572,T,9,RFPUYiMKCE,7/12/2025,233,v=T;i=572;l=9.0;s=233
573,T,6,BPwMvHeFUP,9/4/2025,52,l=6.0;i=573;s=52;v=T
574,T,7.9,DIHmYy4IpY,8/21/2025,10,i=574;s=10;l=7.9;v=T
575,T,8,tLt9K1JY94,8/20/2025,114,i=575;v=T;s=114;l=8.0
